c_Pais,Descripcion,code,Formato de codigo postal,Formato de Registro de Identidad Tributaria,Validacion del Registro de Identidad Tributaria,Agrupaciones,entry_status,create_date,create_by,update_date,update_by
163,Niger (el),NER,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
164,Nigeria,NGA,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
165,Niue,NIU,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
166,Noruega,NOR,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
167,Nueva Caledonia,NCL,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
168,Nueva Zelanda,NZL,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
169,Oman,OMN,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
170,Paises Bajos (los),NLD,,,,Union Europea,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
171,Pakistan,PAK,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
172,Palaos,PLW,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
173,"Palestina, Estado de",PSE,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
174,Panama,PAN,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
175,Papua Nueva Guinea,PNG,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
176,Paraguay,PRY,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
177,Peru,PER,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
178,Polinesia Francesa,PYF,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
179,Polonia,POL,,,,Union Europea,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
180,Portugal,PRT,,,,Union Europea,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
181,Puerto Rico,PRI,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
182,Reino Unido (el),GBR,,,,Union Europea,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
183,Republica Centroafricana (la),CAF,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
184,Republica Checa (la),CZE,,,,Union Europea,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
185,Macedonia (la antigua Republica Yugoslava de),MKD,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
186,Congo,COG,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
187,Congo (la Republica Democratica del),COD,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
188,Republica Dominicana (la),DOM,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
189,Reunion,REU,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
190,Ruanda,RWA,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
191,Rumania,ROU,,,,Union Europea,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
192,"Rusia, (la) Federacion de",RUS,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
193,Sahara Occidental,ESH,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
194,Samoa,WSM,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
195,Samoa Americana,ASM,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
196,San Bartolome,BLM,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
197,San Cristobal y Nieves,KNA,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
198,San Marino,SMR,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
199,San Martin (parte francesa),MAF,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
200,San Pedro y Miquelon,SPM,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
201,San Vicente y las Granadinas,VCT,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
202,"Santa Helena, Ascension y Tristan de Acuna",SHN,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
203,Santa Lucia,LCA,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
204,Santo Tome y Principe,STP,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
205,Senegal,SEN,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
206,Serbia,SRB,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
207,Seychelles,SYC,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
208,Sierra leona,SLE,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
209,Singapur,SGP,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
